id,cmplt_main,per_0,per_1,per_2,per_3,per_4,per_5,per_6
0,0.4075276526900378,0.0,0.0,0.0,0.0,0.0,0.7438271604938271,0.25617283950617287
1,0.10893124772776601,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2,0.022699734239261773,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,0.0015247711513971915,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4,0.06110044780126566,0.0,0.0,0.024691358024691357,0.0,0.9753086419753086,0.0,0.0
5,0.0007813648815358693,0.0,0.0,0.0,0.0,0.5,0.5,0.0
6,0.2820896588211643,0.0,0.0,0.0,1.0,0.0,0.0,0.0
7,0.04648969303514237,0.0,0.0,0.0,0.045454545454545456,0.9545454545454546,0.0,0.0
8,0.0007616613397999483,0.0,0.0,0.0,0.0,1.0,0.0,0.0
9,0.008458966895495652,0.0,0.0,0.0,0.0,1.0,0.0,0.0
10,0.29768887056282367,0.0,0.0,1.0,0.0,0.0,0.0,0.0
11,0.0007616613397999483,0.0,0.0,0.0,0.0,1.0,0.0,0.0
12,0.004324244287826727,0.0,0.0,1.0,0.0,0.0,0.0,0.0
