id,cmplt_br0,per_0,per_1,per_2,per_3,per_4,per_5,per_6
0,0.4158266468870413,0.0,0.0,0.0,0.0,0.0,0.8179012345679012,0.18209876543209877
1,0.11116647897881704,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2,0.02316552487712315,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,0.0015560589241840753,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4,0.062354207702372384,0.0,0.0,0.024691358024691357,0.0,0.9753086419753086,0.0,0.0
5,0.0007340669656396078,0.0,0.0,0.0,0.0,0.5,0.5,0.0
6,0.2878780403383868,0.0,0.0,0.0,1.0,0.0,0.0,0.0
7,0.047443645338925956,0.0,0.0,0.0,0.045454545454545456,0.9545454545454546,0.0,0.0
8,0.000777290365125106,0.0,0.0,0.0,0.0,1.0,0.0,0.0
9,0.008632541949034681,0.0,0.0,0.0,0.0,1.0,0.0,0.0
10,0.3037973424701226,0.0,0.0,1.0,0.0,0.0,0.0,0.0
11,0.000777290365125106,0.0,0.0,0.0,0.0,1.0,0.0,0.0
12,0.004412976274019313,0.0,0.0,1.0,0.0,0.0,0.0,0.0
